CTRY3M_ID,AB_Island_ID,Weigelt ID,Island,Archipelago,NOTES,Source,intro_birds_mine,NISP,region,isolation_from_nearest_island(km),isolation_from_nearest_island_group(km),intr_birds_BlackburnEtAl,intr_mammalian_predators,forest_replacement,deforestation,island_area(km2),max_island_elevation(m),notes,fossil_record_quality_rating
,130,82308,Malaita,Solomons,,birds of melanesia.net,,,m,,,,,,,,,,
8935,43,78968,Malakula,Vanuatu,,Steadman 2006,,195,m,14,440,1,1,NA,NA,2030,879,,4
12692,4,8623,Mangaia,Cook,,,,1674,ep,200,600,2,2,4,4,52,169,,1
,120,65798,Manus,Bismarcks,Manus Island,Birds of Northern Melanesia,,,m,,,,,,,,,,
12678,26,77720,Mare,New.Caledonia,,,0?,141,m,40,75,NA,NA,NA,NA,1970,129,,5
5279,13,9834,Maui,Hawaiian,,,26,25000,h,48,3000,27,5,3,3.5,1883.7,3052,,1
9165,47,53663,Mauritius,Mascarenes,,Cheke & Hume 2008,24,,mas,,,,,,,,,,NA
5259,14,9838,Molokai,Hawaiian,,,23,2500,h,13.7,3000,23,5,3,3.5,673.5,1515,,2
,62,11652,Mona,Greater Antilles,found next to puerto rico/ multiple matches,Ivan/Ricki,,,car,,,,,,,10.9,,,
7737,52,66333,Mussau,Bismarcks,(St Matthias),Steadman 2006,,13,m,95,550,,,,,400,NA,,5
,121,84751,New Britain,Bismarcks,,birds of melanesia.net,,,m,,,,,,,,,,
,131,82593,New Georgia,Solomons,,birds of melanesia.net,,,m,,,,,,,,,,
,122,65407,New Hanover,Bismarcks,,Birds of Northern Melanesia,,,m,,,,,,,,,,
,63,14640,New Providence,Bahamas,,Ivan/Ricki,,,car,,,,,,,207,,,
9117,29,9644,Niue,Niue,,Steadman 2006,1,482,wp,400,400,1,2,3,2,259,73,,4
9283,46,77001,Norfolk,Norfolk,,,12,NA,nz,1400,670,11,3,NA,NA,38.6,318,,NA
12788,27,76597,North.Island,New.Zealand,,Worthy & Holdaway 2002,37,NA,nz,50,1500,37,10,1,2,111582,2796,,1
11259,15,9850,Oahu,Hawaiian,,,38,3000,h,42,3000,37,5,3,3.5,1546.5,1227,,1
,192,19100,Pico,Azores,,avibase,,,,,,,,,,,,,
,108,54638,Praslin Island,Seychelles,Praslin,SBRC Seychelles List,,,Indian Ocean,,,,,,,,,,
,64,11797,Puerto Rico,Greater Antilles,,Ivan/Ricki,,,car,,,,,,,9104,,,
,132,82167,Rendova,Solomons,Rendova Island (Hammond),Birds of Northern Melanesia,,,m,,,,,,,,,,
,133,80609,Rennell,Solomons,Rennell Island,birds of melanesia.net,,,m,,,,,,,,,,
9216,48,53611,Reunion,Mascarenes,Ilet du Gros Galet called Reunion Island in English,Cheke & Hume 2008,,,mas,,,,,,,,,,NA
9145,49,53693,Rodrigues,Mascarenes,,Cheke & Hume 2008,11,,mas,,,,,,,,,,NA
5864,18,74908,Rota,Marianas,,Steadman 2006,3,475,mr,80,500,5,3,NA,NA,85,491,,2
5757,19,75050,Saipan,Marianas,,Steadman 2006,3,12,mr,10,500,4,4,NA,NA,122,474,,5
,77,18202,Sal,Cape Verde Islands,,Illera et al 2012,,,Atlantic,,,,,,,,,,
,134,81155,San Cristobal,Solomons,Makira,Birds of Northern Melanesia,,,m,,,,,,,,,,
,65,13920,San Salvador,Bahamas,san salvador island,Ivan/Ricki,,,car,,,,,,,163,,,
,78,18205,Santa Antao,Cape Verde Islands,,Illera et al 2012,,,Atlantic,,,,,,,,,,
,79,18189,Santiago,Cape Verde Islands,,Illera et al 2012,,,Atlantic,,,,,,,,,,
,193,19139,Sao Jorge,Azores,,avibase,,,,,,,,,,,,,
,194,19038,Sao Miguel,Azores,,avibase,,,,,,,,,,,,,
,80,18199,Sao Nicolau,Cape Verde Islands,,Illera et al 2012,,,Atlantic,,,,,,,,,,
