Island,AB_Island_ID,Weigelt.ID,Archipelago,Species_Name,Common_Name,Sibley2_0ID,AB_Species_ID,introduced,modern_observed,historically_observed,fossil_observed,Source,Fossil_Evidence,Notes,,,,,,,,,,,
Abaco,57,15844,Bahamas,Vireo altiloquus,black-whiskered vireo,,,0,1,1,0,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,,common. breeding migrant,,,,,,,,,,,
Abaco,57,15844,Bahamas,Vireo crassirostris,thick-billed vireo,,,0,1,1,0,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,,common,,,,,,,,,,,
Abaco,57,15844,Bahamas,Zenaida aurita,Zenaida Dove,,,0,1,1,1,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,"Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",,,,,,,,,,,,
Abaco,57,15844,Bahamas,Zenaida macroura,mourning dove,,,0,1,1,0,A Guide to the Birds of the West Indies ; Raffaele et al.;1998,,locally common,,,,,,,,,,,
Abaco,57,15844,Bahamas,Anas bahamensis,White-cheeked Pintail,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Aramus guarauna,Limpkin,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Ardea alba,Great Egret,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Bubulcus ibis,Cattle Egret,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Buteo jamaicensis,Red-tailed Hawk,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Butorides virescens,Green Heron,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Cairina moschata,Muscovy Duck,,,1,1,NA,NA,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Cathartes aura,Turkey Vulture,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Chaetura pelagica,Chimney Swift,,,0,1,1,0,Avibase,,near threatened,,,,,,,,,,,
Abaco,57,15844,Bahamas,Charadrius vociferus,Killdeer,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Charadrius wilsonia,Wilson's Plover,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Coccyzus americanus,Yellow-billed Cuckoo,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Dendrocygna arborea,West Indian Whistling Duck,,,0,1,1,0,Avibase,,vulnerable,,,,,,,,,,,
Abaco,57,15844,Bahamas,Dendroica flavescens,Bahama Warbler,,,0,1,1,0,Avibase,,endemic. near threatened ; Setophaga flavescens,,,,,,,,,,,
Abaco,57,15844,Bahamas,Dendroica petechia,Yellow Warbler,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Dendroica pityophila,Olive-capped Warbler,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Egretta caerulea,Little Blue Heron,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Egretta rufescens,Reddish Egret,,,0,1,1,0,Avibase,,Near threatened,,,,,,,,,,,
Abaco,57,15844,Bahamas,Egretta thula,Snowy Egret,,,0,1,1,0,Avibase,,,,,,,,,,,,,
Abaco,57,15844,Bahamas,Egretta tricolor,Tricolored Heron,,,0,1,1,0,Avibase,,,,,,,,,,,,,
