"","Island","AB_Island_ID","Weigelt.ID","Archipelago","Species_Name","Common_Name","Sibley2_0ID","AB_Species_ID","introduced","modern_observed","historically_observed","fossil_observed","Source","Fossil_Evidence","Notes","good_island"
"30","Abaco",57,15844,"Bahamas","Tyrannus dominicensis","gray kingbird",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"31","Abaco",57,15844,"Bahamas","Vireo altiloquus","black-whiskered vireo",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common. breeding migrant",1
"32","Abaco",57,15844,"Bahamas","Vireo crassirostris","thick-billed vireo",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"common",1
"33","Abaco",57,15844,"Bahamas","Zenaida aurita","Zenaida Dove",NA,NA,0,1,1,1,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998","Steadman ""Exceptionally well preserved late Quaternary plantand vertebrate fossils from a blue hole on Abaco,The Bahamas""",NA,1
"34","Abaco",57,15844,"Bahamas","Zenaida macroura","mourning dove",NA,NA,0,1,1,0,"A Guide to the Birds of the West Indies ; Raffaele et al.;1998",NA,"locally common",1
"35","Abaco",57,15844,"Bahamas","Anas bahamensis","White-cheeked Pintail",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"36","Abaco",57,15844,"Bahamas","Aramus guarauna","Limpkin",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"37","Abaco",57,15844,"Bahamas","Ardea alba","Great Egret",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"38","Abaco",57,15844,"Bahamas","Bubulcus ibis","Cattle Egret",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"39","Abaco",57,15844,"Bahamas","Buteo jamaicensis","Red-tailed Hawk",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"40","Abaco",57,15844,"Bahamas","Butorides virescens","Green Heron",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"41","Abaco",57,15844,"Bahamas","Cairina moschata","Muscovy Duck",NA,NA,1,1,NA,NA,"Avibase",NA,NA,1
"42","Abaco",57,15844,"Bahamas","Cathartes aura","Turkey Vulture",NA,NA,0,1,1,0,"Avibase",NA,NA,1
"43","Abaco",57,15844,"Bahamas","Chaetura pelagica","Chimney Swift",NA,NA,0,1,1,0,"Avibase",NA,"near threatened",1
