AB_Species_ID,Sibley2_0ID,Species_Name,Common.name,Order,Family,Name_Plotting,Pacific,log10Mass,endemism,flightless,ground_nest,primary_diet,secondary_diet,Diet_vert,Diet_invert,Diet_fruit,Diet_nectar,Diet_seed,Diet_scav,Diet_plant,Height_watbelowsurface,Height_wataroundsurface,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_aerial,Nocturnal_cat,NumHabitats,LogFMR,LogPPR,IUCN_status,globally_extinct,global_histVic,global_preVic,Taxon.notes,Nest.notes,guild_ref
105,8507,Clytorhynchus vitiensis,Fiji Shrikebill,Passeriformes,Monarchidae,Clytorhynchus vitiensis,y,1.465382851,0,0,0,i,i,0,10,0,0,0,0,0,0,0,0,5,5,0,0,0,1,2.03,3,LC,0,0,0,,,walter's
106,2347,Collocalia esculenta,Glossy Swiftlet,Apodiformes,Apodidae,Collocalia esculenta,y,0.799296422,0,0,0,i,i,0,10,0,0,0,0,0,0,0,0,0,1,0,9,0,1,1.55,2.52,LC,0,0,0,,,walter's
107,2374,Collocalia leucophaea,"Tahiti Swiftlet, Polynesian Swiftlet",Apodiformes,Apodidae,Collocalia leucophaea,y,1.125638965,1,0,0,i,i,0,10,0,0,0,0,0,0,0,0,0,0,2,8,0,1,1.79,2.76,VU,0,0,0,,,walter's
108,NA,Collocalia manuoi,,Apodiformes,Apodidae,Collocalia manuoi,y,0.965073357,1,0,0,i,i,0,10,0,0,0,0,0,0,0,0,0,0,3,7,0,1,1.67,2.64,EX,1,NA,1,,,same as congener
109,NA,Collocalia ocista,Marquesan Swiftlet,Apodiformes,Apodidae,Collocalia ocista,y,0.965073357,1,0,0,i,i,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1.67,2.64,LC,0,0,0,,,same as congener
110,2372,Collocalia sawtelli,"Atiu Swiftlet, Aitu Swiftlet, Sawtell's Swiftlet",Apodiformes,Apodidae,Collocalia sawtelli,y,0.934498451,1,0,0,i,i,0,10,0,0,0,0,0,0,0,0,0,2,6,2,0,1,1.65,2.62,VU,0,0,0,,,walter's
111,2357,Collocalia spodiopygia,,Apodiformes,Apodidae,Collocalia spodiopygia,y,0.904935238,0,0,0,i,i,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1.63,2.6,LC,0,0,0,,,walter's
112,2369,Collocalia vanikorensis,Uniform Swiftlet,Apodiformes,Apodidae,Collocalia vanikorensis,y,1.029383778,0,0,0,i,i,0,10,0,0,0,0,0,0,0,0,0,3,0,7,0,1,1.72,2.69,LC,0,0,0,,,walter's
113,2363,Collocalia whiteheadi,Whitehead's Swiftlet,Apodiformes,Apodidae,Collocalia whiteheadi,y,1.146128036,0,0,0,i,i,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1.8,2.77,VU,0,0,0,,,walter's
114,3348,Columba pallidiceps,Yellow-legged Pigeon,Columbiformes,Columbidae,Columba pallidiceps,y,2.661812686,0,0,0,f,g,0,0,5,0,5,0,0,0,0,3,4,3,0,0,0,1,2.73,2.91,EN,0,0,0,frug all levels,,walter's
115,3344,Columba vitiensis,"White-throated Pigeon, Metallic Pigeon",Columbiformes,Columbidae,Columba vitiensis,y,2.547774705,0,0,0,f,g,0,1,4,0,2,0,3,0,0,1,3,3,3,0,0,1,2.89,3.28,LC,0,0,0,frug all levels,,walter's
116,NA,"Columbid new genus A, buka",,Columbiformes,Columbidae,"Columbid gen A, Buka",y,3.053958797,3,0,0,f,g,0,0,10,0,0,0,0,0,0,0,3.33,3.33,3.33,0,0,1,3.01,3.21,EX,1,NA,1,ground-dwelling,,boyer 2009
117,NA,"Columbid undescr genus B, buka",,Columbiformes,Columbidae,"Columbid gen B, Buka",y,2.730843581,3,0,0,f,g,0,0,10,0,0,0,0,0,0,0,3.33,3.33,3.33,0,0,1,2.78,2.98,EX,1,NA,1,ground-dwelling,,boyer 2009
118,NA,"Columbid undescr genus, henderson",,Columbiformes,Columbidae,"Columbid gen, Henderson",y,2.730843581,3,0,0,f,g,0,0,10,0,0,0,0,0,0,0,3.33,3.33,3.33,0,0,1,2.78,2.98,EX,1,NA,1,large pigoen,,boyer 2009
119,8316,Coracina analis,New Caledonian Cuckooshrike,Passeriformes,Campephagidae,Coracina analis,y,1.915934887,2,0,0,i,f,0,8,2,0,0,0,0,0,0,1,2,2,4,1,0,1,2.35,3.19,LC,0,0,0,,,walter's
120,8300,Coracina caledonica,Melanesian Cuckooshrike,Passeriformes,Campephagidae,Coracina caledonica,y,2.146128036,0,0,0,i,f,0,5,5,0,0,0,0,0,0,1,2,2,4,1,0,1,2.51,3.36,LC,0,0,0,,,walter's
