AB_Species_ID,Sibley2_0ID,Species_Name,Common.name,Order,Family,Name_Plotting,Pacific,log10Mass,endemism,flightless,ground_nest,primary_diet,secondary_diet,Diet_vert,Diet_invert,Diet_fruit,Diet_nectar,Diet_seed,Diet_scav,Diet_plant,Height_watbelowsurface,Height_wataroundsurface,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_aerial,Nocturnal_cat,NumHabitats,LogFMR,LogPPR,IUCN_status,globally_extinct,global_histVic,global_preVic,Taxon.notes,Nest.notes,guild_ref
177,NA,Eurostopodus mysticalis,"White-throated Eared-nightjar, White-throated Nightjar",Caprimulgiformes,Caprimulgidae,Eurostopodus mysticalis,y,2.161368002,0,0,0,i,i,0,10,0,0,0,0,0,0,0,2,0,0,0,8,1,1,2.52,3.49,LC,0,0,0,NA,NA,boyer 2009
178,1498,Eurystomus orientalis,"Purple Dollarbird, Azure Dollarbird, Purple Roller",Coraciiformes,Coraciidae,Eurystomus orientalis,y,2.15541092,0,0,0,i,c,0,10,0,0,0,0,0,0,0,2,4,2,1,1,0,1,2.52,3.85,LC,0,0,0,,,walter's
179,NA,Falco peregrinus,"Peregrine Falcon, Peregrine",Falconiformes,Falconidae,Falco peregrinus,y,2.78604121,0,0,0,c,c,7,3,0,0,0,0,0,0,0,2,2,4,1,1,0,1,2.97,4.68,LC,0,0,0,,,boyer 2009
180,4969,Falco severus,Oriental Hobby,Falconiformes,Falconidae,Falco severus,y,2.302436885,0,0,0,c,c,7,3,0,0,0,0,0,0,0,0,3.33,3.33,0,0,0,1,2.62,4.06,LC,0,0,0,,,walter's
181,7368,Foulehaio carunculata,Wattled Honeyeater,Passeriformes,Meliphagidae,Foulehaio carunculata,y,1.568201724,0,0,0,n,f,0,3,2,5,0,0,0,0,0,0,8,2,0,0,0,1,2.2,2.75,LC,0,0,0,,,walter's
182,3940,Fulica alai,Hawaiian coot,Gruiformes,Rallidae,Fulica alai,y,2.629520897,0,0,0,h,h,0,2,0,0,4,0,4,5,5,0,0,0,0,0,0,2,2.49,3.14,LC,0,0,0,same mass as american coot,,walter's
183,3514,Gallicolumba beccarii,"Bronze Ground-dove, Bronze Ground Dove",Columbiformes,Columbidae,Gallicolumba beccarii,y,1.896193043,0,0,0,f,g,0,3,4,0,3,0,0,0,0,10,0,0,0,0,0,1,2.15,2.49,LC,0,0,0,ground-dwelling,,walter's
184,3506,Gallicolumba erythroptera,"Polynesian Ground-dove, Polynesian Ground Dove, Society Islands Ground-dove, White-collared Ground-dove",Columbiformes,Columbidae,Gallicolumba erythroptera,y,2.053774565,0,0,0,f,g,0,7,0,0,0,0,3,0,0,8,2,0,0,0,0,1,2.45,3.3,CR,0,0,0,ground-dwelling,,walter's
185,3504,Gallicolumba jobiensis,"White-bibbed Ground-dove, Purple Ground Dove",Columbiformes,Columbidae,Gallicolumba jobiensis,y,2.130333769,0,0,0,f,g,0,2,4,0,4,0,0,0,0,4,2,2,2,0,0,1,2.31,2.66,LC,0,0,0,ground-dwelling,,walter's
186,NA,Gallicolumba leonpascoi,,Columbiformes,Columbidae,Gallicolumba leonpascoi,y,2.135450699,2,0,0,f,g,0,1,3,0,6,0,0,0,0,9,1,0,0,0,0,1,2.32,2.66,EX,1,NA,1,ground-dwelling,,boyer 2009
187,NA,Gallicolumba longitarsus,,Columbiformes,Columbidae,Gallicolumba longitarsus,y,2.501536216,2,0,0,f,g,0,1,3,0,6,0,0,0,0,9,1,0,0,0,0,1,2.58,2.92,EX,1,NA,1,ground-dwelling,,boyer 2009
188,NA,Gallicolumba nui,,Columbiformes,Columbidae,Gallicolumba nui,y,2.479878287,0,0,0,f,g,0,1,3,0,6,0,0,0,0,9,1,0,0,0,0,1,2.56,2.91,EX,1,NA,1,ground-dwelling,,boyer 2009
189,3513,Gallicolumba rubescens,"Marquesan Ground-dove, Marquesan Ground Dove",Columbiformes,Columbidae,Gallicolumba rubescens,y,1.77815125,1,0,0,f,g,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,1,2.06,2.41,EN,0,0,0,ground-dwelling,,walter's
190,3502,Gallicolumba rufigula,"Cinnamon Ground-dove, Cinnamon Ground Dove",Columbiformes,Columbidae,Gallicolumba rufigula,y,2.113943352,0,0,0,f,g,0,3,3,0,4,0,0,0,0,10,0,0,0,0,0,1,2.3,2.65,LC,0,0,0,ground-dwelling,,walter's
191,3509,Gallicolumba stairi,"Shy Ground-dove, Friendly Ground-dove, Tongan Ground Dove",Columbiformes,Columbidae,Gallicolumba stairi,y,2.23299611,0,0,0,f,g,0,2,2,0,2,0,4,0,0,5,5,0,0,0,0,1,2.67,3.17,VU,0,0,0,ground-dwelling,,walter's
192,NA,Gallicolumba undescr sp. Rota,,Columbiformes,Columbidae,Gallicolumba undescr sp. Rota,y,2.135450699,2,0,0,f,g,0,1,3,0,6,0,0,0,0,9,1,0,0,0,0,1,2.32,2.66,EX,1,NA,1,ground-dwelling,,boyer 2009
193,3508,Gallicolumba xanthonura,"White-throated Ground-dove, White-throated Ground Dove",Columbiformes,Columbidae,Gallicolumba xanthonura,y,2.043833931,1,0,0,f,g,0,0,7,0,2,0,1,0,0,0,4,4,2,0,0,1,2.29,2.47,NT,0,0,0,ground-dwelling,,walter's
194,3931,Gallinula chloropus,"Common Moorhen, Moorhen",Gruiformes,Rallidae,Gallinula chloropus,y,2.531010628,0,0,1,o,o,2,2,2,0,2,0,2,0,2,6,2,0,0,0,0,2,2.88,4.11,LC,0,0,0,,,walter's
195,3933,Gallinula tenebrosa,Dusky Moorhen,Gruiformes,Rallidae,Gallinula tenebrosa,y,2.724360888,0,0,1,o,o,0,3,0,0,0,0,7,0,3,5,2,0,0,0,0,2,3.02,4.25,LC,0,0,0,,,walter's
196,NA,Gallirallus epulare,,Gruiformes,Rallidae,Gallirallus epulare,y,2.440734988,2,1,1,o,o,2,3,1,0,2,1,1,0,3,4,3,0,0,0,0,1,2.82,4.2,EX,1,NA,1,,,boyer 2009
197,NA,Gallirallus ernstmayri,,Gruiformes,Rallidae,Gallirallus ernstmayri,y,2.778378912,2,1,1,o,o,2,3,1,0,2,1,1,0,0,10,0,0,0,0,0,1,3.06,4.44,EX,1,NA,1,,,boyer 2009
198,NA,Gallirallus gracilitibia,,Gruiformes,Rallidae,Gallirallus gracilitibia,y,2.33433284,2,1,1,o,o,2,3,1,0,2,1,1,0,3,4,3,0,0,0,0,1,2.74,4.13,EX,1,NA,1,,,boyer 2009
199,NA,Gallirallus lafresnayanus,"New Caledonian Rail, New Caledonian Wood Rail",Gruiformes,Rallidae,Gallirallus lafresnayanus,y,3.053090208,2,1,1,o,o,2,6,2,0,0,0,0,0,0,10,0,0,0,0,0,1,3.16,4.46,CR,0,0,0,,,boyer 2009
200,NA,Gallirallus owstoni,,Gruiformes,Rallidae,Gallirallus owstoni,y,2.361727836,2,1,1,o,o,3,3,0,0,2,0,2,0,3,4,3,0,0,0,0,1,2.76,4.15,EW,1,1,0,,,birdlife international
201,NA,Gallirallus pendiculentus,,Gruiformes,Rallidae,Gallirallus pendiculentus,y,2.388619651,2,1,1,o,o,2,3,1,0,2,1,1,0,3,4,3,0,0,0,0,1,2.78,4.17,EX,1,NA,1,,,boyer 2009
202,3832,Gallirallus philippensis,Buff-banded Rail,Gruiformes,Rallidae,Gallirallus philippensis,y,2.313709498,0,0,1,o,o,3,2,1,0,1,1,2,0,3,4,3,0,0,0,0,2,2.73,4.22,LC,0,0,0,"recent colonist, exclude from prehistoric",,walter's
203,NA,Gallirallus pisonii (sp M),,Gruiformes,Rallidae,Gallirallus pisonii (sp M),y,2.419020264,2,1,1,o,o,2,3,1,0,2,1,1,0,3,4,3,0,0,0,0,1,2.8,4.19,EX,1,NA,1,,,boyer 2009
204,NA,Gallirallus poecilopterus,,Gruiformes,Rallidae,Gallirallus poecilopterus,y,2.285557309,2,1,1,o,o,2,3,1,0,2,1,1,0,3,4,3,0,0,0,0,1,2.71,4.09,EX,1,1,0,,,boyer 2009
205,NA,Gallirallus ripleyi,,Gruiformes,Rallidae,Gallirallus ripleyi,y,2.206215968,2,1,1,o,o,2,3,1,0,2,1,1,0,3,4,3,0,0,0,0,1,2.65,4.04,EX,1,NA,1,,,boyer 2009
206,NA,Gallirallus roletti,,Gruiformes,Rallidae,Gallirallus roletti,y,2.579709223,2,1,1,o,o,2,3,1,0,2,1,1,0,0,10,0,0,0,0,0,1,2.92,4.3,EX,1,NA,1,,,boyer 2009
207,NA,"Gallirallus sp. B, Buka",,Gruiformes,Rallidae,"Gallirallus sp. B, Buka",y,2.627481616,2,1,1,o,o,2,3,1,0,2,1,1,0,0,10,0,0,0,0,0,1,2.95,4.34,EX,1,NA,1,,,boyer 2009
208,NA,"Gallirallus sp. C, Vanuatu",,Gruiformes,Rallidae,"Gallirallus sp. C, Vanuatu",y,2.388619651,2,1,1,o,o,2,3,1,0,2,1,1,0,3,4,3,0,0,0,0,1,2.78,4.17,EX,1,NA,1,,,boyer 2009
209,NA,Gallirallus storrsolsoni,,Gruiformes,Rallidae,Gallirallus storrsolsoni,y,2.524698588,2,1,1,o,o,2,3,1,0,2,1,1,0,0,10,0,0,0,0,0,1,2.88,4.26,EX,1,NA,1,,,boyer 2009
210,NA,Gallirallus temptatus,,Gruiformes,Rallidae,Gallirallus temptatus,y,2.477650019,2,1,1,o,o,2,3,1,0,2,1,1,0,3,4,3,0,0,0,0,1,2.84,4.23,EX,1,NA,1,,,boyer 2009
211,NA,Gallirallus undescr. sp D,,Gruiformes,Rallidae,Gallirallus sp D,y,2.285557309,1,1,1,o,o,2,3,1,0,2,1,1,0,3,4,3,0,0,0,0,1,2.71,4.09,EX,1,NA,1,,,boyer 2009
212,NA,Gallirallus undescr. sp E,,Gruiformes,Rallidae,Gallirallus sp E,y,2.285557309,2,1,1,o,o,2,3,1,0,2,1,1,0,3,4,3,0,0,0,0,1,2.71,4.09,EX,1,NA,1,,,boyer 2009
213,NA,Gallirallus undescr. sp F,,Gruiformes,Rallidae,Gallirallus sp F,y,2.285557309,2,1,1,o,o,2,3,1,0,2,1,1,0,3,4,3,0,0,0,0,1,2.71,4.09,EX,1,NA,1,,,boyer 2009
214,NA,Gallirallus undescr. sp G,,Gruiformes,Rallidae,Gallirallus sp G,y,2.285557309,2,1,1,o,o,2,3,1,0,2,1,1,0,3,4,3,0,0,0,0,1,2.71,4.09,EX,1,NA,1,,,boyer 2009
215,NA,Gallirallus undescr. sp J,,Gruiformes,Rallidae,Gallirallus sp J,y,2.285557309,2,1,1,o,o,2,3,1,0,2,1,1,0,3,4,3,0,0,0,0,1,2.71,4.09,EX,1,NA,1,,,boyer 2009
216,NA,Gallirallus undescr. sp. O,,Gruiformes,Rallidae,Gallirallus sp. O,y,2.436392044,2,1,1,o,o,2,3,1,0,2,1,1,0,3,4,3,0,0,0,0,1,2.81,4.2,EX,1,NA,1,,,boyer 2009
217,NA,Gallirallus vekamatolu,,Gruiformes,Rallidae,Gallirallus vekamatolu,y,2.661356585,2,1,1,o,o,2,3,1,0,2,1,1,0,0,10,0,0,0,0,0,1,2.97,4.36,EX,1,NA,1,,,boyer 2009
218,NA,Gallirallus woodfordi,,Gruiformes,Rallidae,Gallirallus woodfordi,y,2.933659225,1,1,1,o,o,2,3,1,0,2,1,1,0,0,10,0,0,0,0,0,1,3.17,4.56,EX,1,NA,1,,,boyer 2009
219,2024,Geoffroyus heteroclitus,Singing Parrot,Psittaciformes,Psittacidae,Geoffroyus heteroclitus,y,2.230448921,0,0,0,f,f,0,0,9,0,0,0,1,0,0,0,0,3,7,0,0,1,2.42,2.62,LC,0,0,0,,,walter's
220,7598,Gerygone flavolateralis,Fan-tailed Gerygone,Passeriformes,Acanthizidae,Gerygone flavolateralis,y,0.79934055,0,0,0,i,i,0,10,0,0,0,0,0,0,0,0,2,6,2,0,0,1,1.55,2.52,LC,0,0,0,,,walter's
221,NA,Grallistrix auceps,,Strigiformes,Strigidae,Grallistrix auceps,y,2.866343581,2,0,1,c,c,10,0,0,0,0,0,0,0,0,2,3,3,2,0,1,1,3.03,4.87,EX,1,NA,1,,likely on ground (ornith mono 45),boyer 2009
222,NA,Grallistrix erdmani,,Strigiformes,Strigidae,Grallistrix erdmani,y,2.775141739,2,0,1,c,c,10,0,0,0,0,0,0,0,0,2,3,3,2,0,1,1,2.96,4.8,EX,1,NA,1,,likely on ground (ornith mono 45),boyer 2009
223,NA,Grallistrix geleches,,Strigiformes,Strigidae,Grallistrix geleches,y,2.88371536,2,0,1,c,c,10,0,0,0,0,0,0,0,0,2,3,3,2,0,1,1,3.04,4.88,EX,1,NA,1,,likely on ground (ornith mono 45),boyer 2009
224,NA,Grallistrix orion,,Strigiformes,Strigidae,Grallistrix orion,y,2.714340512,2,0,1,c,c,10,0,0,0,0,0,0,0,0,2,3,3,2,0,1,1,2.92,4.76,EX,1,NA,1,,likely on ground (ornith mono 45),boyer 2009
225,7450,Gymnomyza aubryana,Crow Honeyeater,Passeriformes,Meliphagidae,Gymnomyza aubryana,y,2.290257212,2,0,0,n,f,0,4,0,6,0,0,0,0,0,0,0,5,5,0,0,1,2.61,3.45,EN,0,0,0,,,walter's
226,7449,Gymnomyza samoensis,Mao,Passeriformes,Meliphagidae,Gymnomyza samoensis,y,1.995635195,1,0,0,n,f,0,3,3,4,0,0,0,0,0,0,0,8,2,0,0,1,2.5,3.16,EN,0,0,0,,,walter's
227,7448,Gymnomyza viridis,"Giant Honeyeater, Yodeling Honeyeater",Passeriformes,Meliphagidae,Gymnomyza viridis,y,1.943494516,1,0,0,n,f,1,3,2,4,0,0,0,0,0,0,0,2,8,0,0,1,2.46,2.94,LC,0,0,0,,,walter's
228,NA,Gymnophaps albertsii,"Papuan Mountain-pigeon, Papuan Mountain Pigeon",Columbiformes,Columbidae,Gymnophaps albertsii,y,2.413299764,0,0,0,f,f,0,0,10,0,0,0,0,0,0,0,3.33,3.33,3.33,0,0,1,2.55,2.75,LC,0,0,0,canopy frugivore,,boyer 2009
229,1606,Todiramphus chloris,"Collared Kingfisher, White-collared Kingfisher",Coraciiformes,Alcedinidae,NA,y,1.820158487,0,0,0,c,c,2,8,0,0,0,0,0,1,3,4,2,0,0,0,0,1,2.28,3.72,NA,0,0,0,Halcyon,,walter's
230,NA,Todiramphus cinnamomina,Micronesian Kingfisher,Coraciiformes,Alcedinidae,NA,y,1.77815125,0,0,0,c,c,3,7,0,0,0,0,0,0,2,4,3,1,0,0,0,1,2.25,3.69,LC,0,0,0,,,boyer 2009
231,NA,Todiramphus farquhari,"Chestnut-bellied Kingfisher, Vanuatu Kingfisher",Coraciiformes,Alcedinidae,NA,y,1.827369273,1,0,0,c,c,3,7,0,0,0,0,0,0,2,4,3,1,0,0,0,1,2.28,3.72,VU,0,0,0,,,boyer 2009
232,NA,Todiramphus godeffroyi,Marquesan Kingfisher,Coraciiformes,Alcedinidae,NA,y,1.827369273,1,0,0,c,c,3,7,0,0,0,0,0,0,2,4,3,1,0,0,0,1,2.28,3.72,EN,0,0,0,,,boyer 2009
233,1600,Todiramphus leucopygia,Ultramarine Kingfisher,Coraciiformes,Alcedinidae,NA,y,1.680531334,0,0,0,c,c,0,10,0,0,0,0,0,0,0,6,3,1,0,0,0,1,2.18,3.62,LC,0,0,0,Halcyon,,walter's
234,NA,Todiramphus mangaia,,Coraciiformes,Alcedinidae,NA,y,1.55911719,2,0,0,c,c,3,7,0,0,0,0,0,0,2,4,3,1,0,0,0,1,2.09,3.53,VU,0,0,0,aka Todirhamphus ruficollaris; Halcyon,,boyer 2009
235,1610,Todiramphus sanctus,Sacred Kingfisher,Coraciiformes,Alcedinidae,NA,y,1.724008233,1,0,0,c,c,3,7,0,0,0,0,0,0,0,4,3,2,0,1,0,1,2.21,3.65,LC,0,0,0,Halcyon sancta,,NA
236,NA,Todiramphus saurophaga,Beach Kingfisher,Coraciiformes,Alcedinidae,NA,y,1.827369273,0,0,0,c,c,3,7,0,0,0,0,0,0,2,4,3,1,0,0,0,1,2.28,3.72,LC,0,0,0,,,boyer 2009
237,1613,Todiramphus tutus,Chattering Kingfisher,Coraciiformes,Alcedinidae,NA,y,1.626609618,0,0,0,c,c,3,7,0,0,0,0,0,0,2,2,2,2,1,1,0,1,2.14,3.58,LC,0,0,0,Halcyon tuta,,walter's
238,4630,Haliaeetus leucogaster,"White-bellied Sea-eagle, White-bellied Fish-eagle, White-bellied Sea Eagle",Falconiformes,Accipitridae,Haliaeetus leucogaster,y,3.451327738,0,0,0,c,c,8,0,0,0,0,2,0,0,0,6,2,2,0,0,0,2,3.44,5.25,LC,0,0,0,,,walter's
239,4632,Haliaeetus sanfordi,,Falconiformes,Accipitridae,Haliaeetus sanfordi,y,3.29666519,0,0,0,c,c,5,0,0,0,0,5,0,0,5,3,0,0,2,0,0,2,3.33,5.18,VU,0,0,0,,,walter's
240,NA,Haliaeetus albicilla,"White-tailed Eagle, Grey Sea Eagle",Falconiformes,Accipitridae,Haliaeetus albicilla,y,3.760990213,0,0,0,c,c,7,0,0,0,0,3,0,0,5,5,0,0,0,0,0,2,3.66,5.51,LC,0,NA,NA,same mass as bald eagle,NA,boyer 2009
241,4628,Haliastur indus,Brahminy Kite,Falconiformes,Accipitridae,Haliastur indus,y,2.723455672,0,0,0,c,c,4,1,0,0,0,5,0,0,1,5,0,0,1,3,0,1,3.02,4.82,LC,0,0,0,,,walter's
242,4627,Haliastur sphenurus,Whistling Kite,Falconiformes,Accipitridae,Haliastur sphenurus,y,2.876794976,0,0,0,c,c,3,1,0,0,0,6,0,0,0,6,2,2,0,0,0,1,3.13,4.93,LC,0,0,0,,,walter's
243,12441,Hemignathus lucidus,"Nukupuu, Nukupu'u",Passeriformes,Fringillidae,Hemignathus lucidus,y,1.397010536,2,0,0,i,i,0,10,0,0,0,0,0,0,0,0,5,5,0,0,0,1,1.98,2.95,CR,0,0,0,"aka. Heterorhynchus olivaceus, H. hanapepe, H. affinis",,walter's
244,NA,Hemignathus vorpalis,,Passeriformes,Fringillidae,Hemignathus vorpalis,y,1.695218919,2,0,0,i,i,0,9,0,0,0,0,1,0,0,0,5,5,0,0,0,1,2.19,3.13,EX,1,NA,1,Giant Nukupuu,,same as congener
245,12442,Hemignathus wilsoni,,Passeriformes,Fringillidae,Hemignathus wilsoni,y,1.446933567,2,0,0,i,i,0,8,0,2,0,0,0,0,0,0,4,4,2,0,0,1,2.01,2.95,EN,0,0,0,"aka. H. olivaceus, Heterorhynchus wilsoni, H. munroi",,walter's
246,2441,Hemiprocne mystacea,Moustached treeswift,Apodiformes,Apodidae,Hemiprocne mystacea,y,1.845718018,0,0,0,i,i,0,10,0,0,0,0,0,0,0,0,0,2,8,0,0,1,2.3,3.27,LC,0,0,0,,,walter's
247,12457,Himatione sanguinea,Apapane,Passeriformes,Fringillidae,Himatione sanguinea,y,1.181241237,2,0,0,n,n,0,2,0,8,0,0,0,0,0,0,3,3,4,0,0,1,1.92,2.47,LC,0,0,0,,,walter's
248,NA,Hirundo sp. Henderson,,Passeriformes,Hirundinidae,Hirundo sp. Henderson,y,1.249830672,2,0,0,i,i,0,10,0,0,0,0,0,0,0,0,1,1,0,8,0,1,1.87,2.84,EX,1,NA,1,,,same as congener
249,10083,Hirundo tahitica,Pacific Swallow,Passeriformes,Hirundinidae,Hirundo tahitica,y,1.250420002,0,0,0,i,i,0,10,0,0,0,0,0,0,0,0,4,6,0,0,0,1,1.87,2.84,LC,0,0,0,,,walter's
250,5171,Ixobrychus flavicollis,,Ciconiiformes,Ardeidae,Ixobrychus flavicollis,y,2.506505032,0,0,0,c,c,7,3,0,0,0,0,0,0,5,5,0,0,0,0,0,2,2.77,4.57,LC,0,0,0,,,walter's
251,5164,Ixobrychus sinensis,,Ciconiiformes,Ardeidae,Ixobrychus sinensis,y,1.974511693,0,0,0,c,c,2,8,0,0,0,0,0,0,5,5,0,0,0,0,0,2,2.39,3.83,LC,0,0,0,,,walter's
252,8352,Lalage leucomela,Varied Triller,Passeriformes,Campephagidae,Lalage leucomela,y,1.466224198,0,0,0,i,f,0,8,1,0,1,0,0,0,0,0,0,0,10,0,0,1,2.03,2.87,LC,0,0,0,,,walter's
253,8355,Lalage leucopyga,Long-tailed Triller,Passeriformes,Campephagidae,Lalage leucopyga,y,1.385606274,0,0,0,i,f,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,1,1.97,2.82,LC,0,0,0,,,walter's
254,8353,Lalage maculosa,Polynesian Triller,Passeriformes,Campephagidae,Lalage maculosa,y,1.481442629,0,0,0,i,f,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,1,2.04,2.88,LC,0,0,0,,,walter's
255,NA,Lalage sp. Tongatapu,,Passeriformes,Campephagidae,Lalage sp. Tongatapu,y,1.472965295,0,0,0,i,f,0,7,3,0,0,0,0,0,0,0,0,0,10,0,0,1,2.03,2.88,EX,1,NA,1,likely L. maculosa,,same as congener
256,7344,Lichmera incana,"Dark-brown Honeyeater, Grey-eared Honeyeater",Passeriformes,Meliphagidae,Lichmera incana,y,1.117271296,0,0,0,n,f,0,2,2,6,0,0,0,0,0,0,6,3,1,0,0,1,1.88,2.43,LC,0,0,0,,,walter's
257,12200,Lonchura forbesi,New Ireland Munia,Passeriformes,Estrildidae,Lonchura forbesi,y,1.123082638,0,0,0,g,g,0,1,0,0,9,0,0,0,0,5,5,0,0,0,0,1,1.6,1.72,LC,0,0,0,,,walter's
258,NA,Lonchura hunstieni,Mottled Munia,Passeriformes,Estrildidae,Lonchura hunstieni,y,1.093833534,0,0,0,g,g,0,0,0,0,10,0,0,0,0,5,5,0,0,0,0,1,1.58,1.7,LC,0,0,0,,,same as congener
259,NA,Lonchura meleana,"Bismarck Munia, Sooty Munia",Passeriformes,Estrildidae,Lonchura meleana,y,1.093833534,0,0,0,g,g,0,0,0,0,10,0,0,0,0,5,5,0,0,0,0,1,1.58,1.7,LC,0,0,0,,,same as congener
260,2128,Loriculus tener,"Green-fronted Hanging-parrot, Green-fronted Hanging Parrot",Psittaciformes,Psittacidae,Loriculus tener,y,1.079181246,1,0,0,f,f,0,0,4,2,1,0,3,0,0,0,3,4,3,0,0,1,1.85,1.94,NT,0,0,0,,,walter's
261,1973,Lorius albidinuchus,White-naped Lory,Psittaciformes,Psittacidae,Lorius albidinuchus,y,2.120573931,1,0,0,n,f/g,0,0,2,6,0,0,2,0,0,0,3,4,3,0,0,1,2.34,2.52,NT,0,0,0,,,walter's
262,1972,Lorius hypoinochrous,Purple-bellied Lory,Psittaciformes,Psittacidae,Lorius hypoinochrous,y,2.271841607,1,0,0,n,f/g,0,0,2,6,0,0,2,0,0,0,0,6,4,0,0,1,2.7,2.83,LC,0,0,0,,,walter's
263,NA,Lorius sp. New Ireland,,Psittaciformes,Psittacidae,Lorius sp. New Ireland,y,2.285557309,0,0,0,n,f/g,0,0,3,6,0,0,1,0,0,0,3,4,3,0,0,1,2.71,2.84,EX,1,NA,1,,,same as congener
264,12425,Loxioides bailleui,Palila,Passeriformes,Fringillidae,Loxioides bailleui,y,1.57805641,2,0,0,g,g,0,1,1,0,7,0,1,0,0,0,3,3,4,0,0,1,1.92,2.49,EN,0,0,0,big island population may be separate species?,,walter's
265,12449,Loxops caeruleirostris,"Akekee, 'akeke'e",Passeriformes,Fringillidae,Loxops caeruleirostris,y,1.033423756,2,0,0,i,i,0,10,0,0,0,0,0,0,0,0,3.33,3.33,3.33,0,0,1,1.72,2.69,EN,0,0,0,asymmetric bill,,walter's & BNA
266,NA,Loxops chloris,,Passeriformes,Fringillidae,Loxops chloris,y,1.100370545,2,0,0,i,i,0,10,0,0,0,0,0,0,0,0,3.33,3.33,3.33,0,0,1,1.77,2.74,VU,0,0,0,"oahu amakihi, aka. H. chloris",,same as congener
267,12450,Loxops coccineus,"Akepa, 'akepa",Passeriformes,Fringillidae,Loxops coccineus,y,1.021189299,2,0,0,i,i,0,8,1,0,0,0,1,0,0,0,3.33,3.33,3.33,0,0,1,1.71,2.68,EN,0,0,0,"aka. Himiatone aurea, Loxops aurea, Loxops ochracea",,walter's & BNA
268,NA,Loxops flavus,"Oahu Amakihi, O'Ahu 'amakihi",Passeriformes,Fringillidae,Loxops flavus,y,1.062581984,2,0,0,n,n,0,8,0,2,0,0,0,0,0,0,3.33,3.33,3.33,0,0,1,1.74,2.63,VU,0,0,0,aka. Hemignathus flavus,,same as congener
269,NA,Loxops kauaiensis,"Kauai Amakihi, Kaua'I 'amakihi",Passeriformes,Fringillidae,Loxops kauaiensis,y,1.220108088,2,0,0,i,i,0,10,0,0,0,0,0,0,0,0,3.33,3.33,3.33,0,0,1,1.85,2.82,VU,0,0,0,"kauai amakihi, aka. H. kauaiensis",,same as congener
270,NA,Loxops parvus,"Anianiau, 'anianiau",Passeriformes,Fringillidae,Loxops parvus,y,0.986771734,2,0,0,n,n,0,8,0,2,0,0,0,0,0,0,3.33,3.33,3.33,0,0,1,1.69,2.57,VU,0,0,0,aka. Hemignathus parvus,,same as congener
271,NA,Loxops sagittirostris,,Passeriformes,Fringillidae,Loxops sagittirostris,y,1.204119983,2,0,0,i,i,0,10,0,0,0,0,0,0,0,0,3.33,3.33,3.33,0,0,1,1.84,2.81,EX,1,1,0,"amakihi, aka. Hemignathus sagittirostris",,same as congener
272,NA,Loxops stejnegeri,,Passeriformes,Fringillidae,Loxops stejnegeri,y,1.137851543,2,0,0,n,n,0,8,0,2,0,0,0,0,0,0,3.33,3.33,3.33,0,0,1,1.79,2.68,EX,1,1,0,aka Akialoa stejnegeri,,same as congener
273,NA,Loxops virens,"Common Amakihi, Common 'Amakihi, Hawaii Amakihi",Passeriformes,Fringillidae,Loxops virens,y,1.127104798,2,0,0,n,n,0,8,0,2,0,0,0,0,0,0,3.33,3.33,3.33,0,0,1,1.79,2.67,LC,0,0,0,,,same as congener
274,3400,Macropygia amboinensis,,Columbiformes,Columbidae,Macropygia amboinensis,y,2.374748346,0,0,0,f,f,0,0,5,0,5,0,0,0,0,3.33,3.33,3.33,0,0,0,1,2.53,2.71,LC,0,0,0,mid-level frugivore,,walter's
275,NA,Macropygia arevarevauupa,,Columbiformes,Columbidae,Macropygia arevarevauupa,y,2.17147241,2,0,0,f,f,0,0,7,0,3,0,0,0,0,2,2,6,0,0,0,1,2.38,2.56,EX,1,NA,1,mid-level frugivore,,same as congener
276,NA,Macropygia heana,,Columbiformes,Columbidae,Macropygia heana,y,2.09384261,1,0,0,f,f,0,0,7,0,3,0,0,0,0,2,2,6,0,0,0,1,2.33,2.51,EX,1,NA,1,mid-level frugivore,,same as congener
277,3405,Macropygia mackinlayi,"Mackinlay's Cuckoo-dove, Spot-breasted Cuckoo-dove",Columbiformes,Columbidae,Macropygia mackinlayi,y,1.933763206,0,0,0,f,f,0,0,4,0,4,0,2,0,0,2,0,8,0,0,0,1,2.46,2.67,LC,0,0,0,mid-level frugivore,,walter's
278,3404,Macropygia nigrirostris,Black-billed Cuckoo-dove,Columbiformes,Columbidae,Macropygia nigrirostris,y,1.954724791,0,0,0,f,f,0,0,5,0,5,0,0,0,0,0,5,5,0,0,0,1,2.23,2.41,LC,0,0,0,mid-level frugivore,,walter's
279,8503,Mayrornis lessoni,Slaty Monarch,Passeriformes,Monarchidae,Mayrornis lessoni,y,1.049218023,1,0,0,i,i,0,9,1,0,0,0,0,0,0,0,0,8,2,0,0,1,1.73,2.7,LC,0,0,0,,,walter's
280,11010,Megalurus timoriensis,Tawny Grassbird,Passeriformes,Sylviidae,Megalurus timoriensis,y,1.333492227,0,0,0,i,i,0,8,0,0,2,0,0,0,0,5,5,0,0,0,0,1,1.93,2.9,LC,0,0,0,,,walter's
