Species_Name,Family,Common_name,Taxonomy.notes,Body mass (g),Diet_invert,Diet_vert,Diet_scav,Diet_fruit,Diet_nectar,Diet_seed,Diet_plant,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_watbelowsurface,Height_wataroundsurface,Height_aerial,Nocturnal_cat,guild_ref,mass reference
Estrilda troglodytes,Estrildidae,,,7.55,4,0,0,0,0,6,0,5,5,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Dendroica adelaidae,Parulidae,,aka family: Emberizidae,7.65,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Dendroica pityophila,Fringillidae,OLIVE-CAPPED WARBLER,,7.95,9,0,0,0,1,0,0,0,0,6,4,0,0,0,0,jetz,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Sporophila minuta,Thraupidae,,aka family: Fringillidae,8,1,0,0,1,0,8,0,8,2,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Estrilda melpoda,Estrildidae,,,8.05,5,0,0,0,0,5,0,7,3,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Dendroica angelae,Parulidae,,aka family: Emberizidae,8.1,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Anthracothorax mango,Trochilidae,JAMAICAN MANGO,,8.5,1,0,0,0,9,0,0,0,5,3,1,0,0,1,0,jetz,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Amandava amandava,Estrildidae,,,9,3,0,0,0,0,7,0,5,5,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Carduelis dominicensis,Fringillidae,,,9,0,0,0,0,0,10,0,9,1,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Dendroica flavescens,,YELLOW-THROATED WARBLER,considered a subspecies of Dendroica dominica,9,10,0,0,0,0,0,0,0,0,2,8,0,0,0,0,Jetz,Dunning
Lonchura cucullata,,,Bronze Mannikin,9,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,wikipedia,
Tachornis phoenicobia,Apodidae,ANTILLEAN PALM-SWIFT,,9,10,0,0,0,0,0,0,0,0,2,0,0,0,8,0,jetz,Dunning
Tachornis uranoceles,,,EXTINCT,9,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,Boyer,same as congener
Tiaris olivacea,Fringillidae,YELLOW-FACED GRASSQUIT,,9,0,0,0,0,0,9,1,9,1,0,0,0,0,0,0,jetz,Dunning
Tiaris bicolor,Emberizidae,,,9.3,0,0,0,1,0,9,0,10,0,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Eulampis jugularis,Trochilidae,,,9.5,5,0,0,0,5,0,0,0,0,5,5,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Sporophila bouvronides,Thraupidae,,aka family: Fringillidae,9.5,0,0,0,0,0,10,0,5,5,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Dendroica pharetra,Parulidae,,aka family: Emberizidae,9.8,10,0,0,0,0,0,0,0,3,4,3,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Sporophila nigricollis,Thraupidae,,aka family: Fringillidae,9.85,0,0,0,0,0,10,0,5,5,0,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Campylopterus ensipennis,Trochilidae,WHITE-TAILED SABREWING,,10,1,0,0,0,9,0,0,0,6,4,0,0,0,0,0,jetz,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Formicivora grisea,Formicariidae,,,10,10,0,0,0,0,0,0,1,8,1,0,0,0,0,0,"Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print.","Handbook of the Birds of the World. Barcelona: Lynx Edicions, 1992. Print."
Tiaris canora,Fringillidae,CUBAN GRASSQUIT,,10,0,0,0,0,0,9,1,6,4,0,0,0,0,0,0,jetz,Dunning
